host_tenure,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price_per_night,minimum_nights,number_of_reviews,number_of_reviews_ly,review_scores_rating,reviews_per_month
Established,f,1157,t,t,Centro,Entire home/apt,2,1,1,1,56.77,28,1,0,5,1
Veteran,f,3,t,t,Centro,Private room,1,1,1,1,60,1,1,1,5,0.07
New,f,194,t,t,Centro,Entire home/apt,2,1,1,1,61.6,30,1,1,4,0.1
New,f,45,t,t,Centro,Private room,1,0,1,1,63,3,1,1,5,0.08
New,f,45,t,t,Centro,Private room,1,5,1,1,63,3,1,0,5,0.03
New,f,45,t,t,Centro,Private room,1,5,1,1,63,3,1,0,2,0.03
New,f,45,t,t,Centro,Private room,2,5,1,,63,3,1,0,2,0.03
New,f,45,t,t,Centro,Private room,1,5,1,1,63,3,1,0,5,0.03
New,f,45,t,t,Centro,Private room,1,1,1,1,63,3,1,0,5,1
Veteran,f,123,t,t,Centro,Entire home/apt,1,1,1,1,63.7,20,1,0,5,0.6
Veteran,f,51,t,t,Centro,Entire home/apt,3,1,2,2,66.77,32,1,1,4,0.09
Veteran,t,4,t,t,Centro,Private room,1,1,1,1,68,1,1,0,5,0.04
New,f,141,t,t,Centro,Entire home/apt,2,1,1,1,69.07,31,1,1,5,0.13
New,f,141,t,t,Centro,Entire home/apt,2,1,1,1,69.07,31,1,1,5,0.13
Veteran,f,60,t,t,Centro,Entire home/apt,4,1,2,3,69.23,31,1,0,5,1
New,f,141,t,t,Centro,Entire home/apt,2,1,1,1,69.37,31,1,1,5,0.13
Veteran,f,1,t,t,Centro,Entire home/apt,2,1,1,1,69.44,30,1,0,5,0.04
New,f,45,t,t,Centro,Private room,2,2,1,1,70,3,1,1,3,0.09
New,t,6,t,t,Centro,Private room,1,1,1,1,71,1,1,0,5,0.05
Veteran,f,51,t,t,Centro,Entire home/apt,2,1,1,1,71.72,31,1,0,4,0.04
New,f,12,t,t,Centro,Private room,2,1,1,1,72,1,1,0,5,0.77
New,f,1,t,t,Centro,Entire home/apt,2,1,1,1,72.37,31,1,0,5,1
New,f,45,t,t,Centro,Private room,2,1,1,1,73,3,1,1,5,0.08
Veteran,f,51,t,t,Centro,Entire home/apt,2,1,1,1,73.39,31,1,1,3,0.1
New,f,2,t,t,Centro,Private room,1,1,1,1,75,1,1,0,1,0.04
New,f,1,t,t,Centro,Private room,2,1,1,1,75,1,1,1,5,0.06
New,f,141,t,t,Centro,Entire home/apt,4,1,1,3,75.04,31,1,1,5,0.14
New,f,1,t,t,Centro,Entire home/apt,2,1,1,1,75.46,32,1,1,5,0.12
Established,f,100,t,t,Centro,Entire home/apt,4,1,1,1,75.6,30,1,0,5,0.02
New,t,19,t,t,Centro,Entire home/apt,4,1,2,2,77.52,28,1,1,5,0.08
New,f,4,t,t,Centro,Private room,2,1,1,1,78,1,1,0,5,0.05
New,f,141,t,t,Centro,Entire home/apt,2,1,1,1,78.49,31,1,1,5,0.16
New,f,141,t,t,Centro,Entire home/apt,2,1,1,1,78.49,31,1,1,5,0.13
Veteran,f,51,t,t,Centro,Entire home/apt,2,1,1,1,78.62,32,1,1,5,0.1
New,f,171,t,t,Centro,Private room,2,0,1,1,79,1,1,1,5,0.16
New,t,2,t,t,Centro,Private room,2,0.5,1,1,80,1,1,0,5,1
Veteran,t,2,t,t,Centro,Private room,2,2,1,1,80,2,1,0,5,0.2
New,f,4,t,t,Centro,Private room,2,1,1,2,80,2,1,0,5,1
New,f,194,t,t,Centro,Entire home/apt,2,1,1,1,80.77,30,1,0,5,0.03
Veteran,f,37,t,t,Centro,Private room,2,1,1,1,81,1,1,0,4,0.02
New,f,1,t,t,Centro,Entire home/apt,2,1,1,1,81.57,7,1,0,3,0.35
Veteran,f,1042,t,t,Centro,Entire home/apt,3,1,1,2,82.54,31,1,0,2,0.67
Veteran,f,1042,t,t,Centro,Entire home/apt,2,0,1,1,83.8,31,1,0,4,0.04
New,f,32,t,t,Centro,Private room,2,0.5,1,1,84,1,1,0,5,0.43
New,f,1,t,t,Centro,Entire home/apt,2,1,1,1,84.43,5,1,0,1,0.24
New,f,141,t,t,Centro,Entire home/apt,4,1,1,,84.85,31,1,1,5,0.14
Veteran,f,1,t,t,Centro,Entire home/apt,6,1,2,,85.27,28,1,0,5,0.04
Established,f,1,t,t,Centro,Entire home/apt,4,2,2,2,85.55,28,1,1,3,0.09
Veteran,t,71,t,t,Centro,Entire home/apt,2,1,1,1,85.76,7,1,0,5,0.36
Veteran,f,14,t,t,Centro,Entire home/apt,2,1,1,1,86,1,1,1,3,0.13
Established,t,48,t,t,Centro,Entire home/apt,4,1,1,1,86.24,30,1,1,5,0.09
New,f,1,t,t,Centro,Entire home/apt,3,1,1,1,86.61,28,1,0,5,1
New,f,45,t,t,Centro,Private room,2,5,1,,88,3,1,0,2,0.04
New,f,45,t,t,Centro,Private room,2,5,1,1,88,1,1,0,4,0.03
Veteran,f,34,t,t,Centro,Entire home/apt,2,1,1,1,88.5,30,1,0,5,0.18
New,f,29,t,t,Centro,Private room,3,1,1,2,89,1,1,0,1,0.6
New,f,29,t,t,Centro,Private room,3,1,1,2,89,1,1,0,5,0.33
Established,f,31,t,t,Centro,Private room,2,2,1,1,89.67,2,1,0,5,0.04
New,f,32,t,t,Centro,Private room,2,1,1,1,91,1,1,0,4,0.24
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,91.09,30,1,1,4,0.11
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,91.09,30,1,1,1,0.14
Established,f,10,t,t,Centro,Private room,2,1,1,1,92,1,1,1,5,0.06
Veteran,f,14,t,t,Centro,Entire home/apt,2,1,1,1,92,1,1,1,5,0.07
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,92.06,30,1,1,5,0.09
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,92.06,30,1,0,5,0.79
Established,f,1,t,t,Centro,Entire home/apt,2,1,1,1,92.2,30,1,0,5,0.03
Veteran,t,10,t,t,Centro,Entire home/apt,4,1,1,2,92.35,29,1,0,5,0.56
